path,doc_type,domain,status,owner,notes
.github/pull_request_template.md,contributor,Contributor Docs,authoritative,Developer Experience,
API_REFERENCE.md,reference,Reference,needs-update,Backend Team,
CLAUDE.md,contributor,Contributor Docs,needs-update,Architecture,
MODEL_OPTIMIZATION_GUIDE.md,contributor,Contributor Docs,needs-update,Architecture,
QUICKSTART.md,tutorial,Getting Started,authoritative,Developer Experience,
QUICK_REFERENCE_MODELS.md,contributor,Contributor Docs,needs-update,Architecture,
README.md,tutorial,Getting Started,authoritative,Developer Experience,
data/static/ERA_PACK_PROMPT_TEMPLATE.md,reference,Reference,authoritative,Content Team,
data/static/README.md,reference,Reference,authoritative,Content Team,
data/static/STYLE_PROMPT_TEMPLATE.md,reference,Reference,authoritative,Content Team,
data/style/base/star_wars_base_style.md,reference,Reference,authoritative,Narrative Team,
data/style/era/PROMPT_TEMPLATE.md,reference,Reference,authoritative,Narrative Team,
data/style/era/legacy_style.md,reference,Reference,authoritative,Narrative Team,
data/style/era/new_jedi_order_style.md,reference,Reference,authoritative,Narrative Team,
data/style/era/new_republic_style.md,reference,Reference,authoritative,Narrative Team,
data/style/era/rebellion_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/PROMPT_TEMPLATE.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/cosmic_horror_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/court_intrigue_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/epic_fantasy_quest_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/espionage_thriller_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/gothic_romance_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/heist_caper_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/hero_journey_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/military_tactical_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/murder_mystery_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/mythic_quest_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/noir_detective_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/political_thriller_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/post_apocalyptic_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/samurai_cinema_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/space_western_style.md,reference,Reference,authoritative,Narrative Team,
data/style/genre/survival_horror_style.md,reference,Reference,authoritative,Narrative Team,
docs/00_overview.md,concept,Concepts,authoritative,Architecture,
docs/01_repo_map.md,concept,Concepts,authoritative,Architecture,
docs/02_turn_lifecycle.md,concept,Concepts,authoritative,Architecture,
docs/03_state_and_persistence.md,concept,Concepts,authoritative,Architecture,
docs/04_agents_and_models.md,concept,Concepts,authoritative,Architecture,
docs/05_rag_and_ingestion.md,concept,Concepts,authoritative,Architecture,
docs/06_api_and_routes.md,reference,Reference,needs-update,Backend Team,
docs/07_known_issues_and_risks.md,concept,Concepts,authoritative,Architecture,
docs/08_alignment_checklist.md,concept,Concepts,authoritative,Architecture,
docs/09_call_graph.md,concept,Concepts,authoritative,Architecture,
docs/CONSOLIDATION_V2.20.md,contributor,Contributor Docs,archive-candidate,Architecture,
docs/CONTENT_SYSTEM.md,concept,Concepts,authoritative,Architecture,
docs/DOCUMENTATION_CURATION_PLAN.md,contributor,Contributor Docs,needs-update,Architecture,
docs/ERA_PACK_QUICK_REFERENCE.md,how-to,How-to Guides,authoritative,Content Team,
docs/IMPLEMENTATION_PLAN.md,contributor,Contributor Docs,archive-candidate,Architecture,
docs/MIGRATION_FROM_ERA_PACKS.md,contributor,Contributor Docs,archive-candidate,Architecture,
docs/PACK_AUTHORING.md,how-to,How-to Guides,needs-update,Architecture,
docs/RUNBOOK.md,runbook,Operations / Runbooks,authoritative,Platform Ops,
docs/_curation/README.md,contributor,Contributor Docs,authoritative,Docs WG,
docs/_curation/audit_findings.md,contributor,Contributor Docs,authoritative,Docs WG,
docs/_curation/ownership_matrix.md,contributor,Contributor Docs,authoritative,Docs WG,
docs/_curation/style_guide.md,contributor,Contributor Docs,authoritative,Docs WG,
docs/_curation/templates/api_reference_template.md,contributor,Contributor Docs,authoritative,Docs WG,
docs/_curation/templates/design_note_template.md,contributor,Contributor Docs,authoritative,Docs WG,
docs/_curation/templates/how_to_template.md,contributor,Contributor Docs,authoritative,Docs WG,
docs/_curation/templates/runbook_template.md,contributor,Contributor Docs,authoritative,Docs WG,
docs/architecture.md,concept,Concepts,authoritative,Architecture,
docs/era_pack_generation_prompt.md,contributor,Contributor Docs,needs-update,Architecture,
docs/era_pack_schema_reference.md,reference,Reference,authoritative,Content Team,
docs/era_pack_template.md,how-to,How-to Guides,authoritative,Content Team,
docs/lore_pipeline_guide.md,how-to,How-to Guides,authoritative,Content Team,
docs/templates/CAMPAIGN_INIT_TEMPLATE.md,reference,Contributor Docs,authoritative,Backend Team,
docs/templates/DB_SEED_TEMPLATE.md,reference,Contributor Docs,authoritative,Backend Team,
docs/ui_improvements_v2.9.md,contributor,Contributor Docs,archive-candidate,Architecture,
docs/user_guide.md,how-to,How-to Guides,authoritative,Content Team,
ingestion/README.md,how-to,How-to Guides,authoritative,Data Platform,
